be able to == can;potrafić
comes out;schodzić
fabulous;bajeczny
suddenly;nagle
suffered;cierpieć
scuba-diving;nurkowanie z akwalungiem
excursions;wycieczka,wypad
frustrating;denerwujący
hips;biodra
embarrassing;żenujący
incredibly;niesamowicie
Roman letters;Rzymski alfabet
charming;czarujący
disappointed;rozczarowany
thought;myśl
delicious;pyszny
invited;zaprosić
snorkelling;nurkowanie z rurką do oddychania
effort;wysiłek
The film was BORING;opisujemy sytuację, która popchneła nas w stan, w którym jesteśmy
The audience was BORED;opisujemy stan, w którym jesteśmy w chwili mówienia
exciting;pasjonujący
amazing;niesamowity
frighten;wystraszyć
fluently;płynnie
skills;umiejętności
attention;uwaga
frustrated;sfrustrowany
I couldn't speak;nie mogłem mówić
link;odniesienie
phrases;wyrażenia
tactless;nietaktowny
loudly;głośno
myself;sam
itself;samo
vain;próżny
dialling;wybierać
hung up;rozłączyć się
engaged;zajęty
companion;towarzysz
disturbing;niepokojący
disturb;zakłócać
permit;pozwalać,zezwalać
necessary;potrzebny
compulsory;przymusowy
mealtimes;pora posiłku
poor;biedny
expecting;spodziewać się
advance;osiągniecie,rozwój
especially;zwłaszcza
insulting;obraźliwy
serving;podawanie
attention;uwaga,zainteresowanie
inappropriate;nieodpowiedni
ought == should;powinnien
dishonest;nieuczciwy
knowledge;wiedza
doubt;wątpliwość
calm;spokój
